source_text,page,line,text
krim1870.txt,5,178,17. Tyveri forste Gang begaaet.
krim1870.txt,5,179,18. 19. 20. Tyveri gjentaget.
krim1870.txt,5,185,29. Smaa-Tyverier og -Bedragerier.
krim1870.txt,7,335,"Lösagtighed (82 og 7), Smaatyverier (33 og 46), Skovforseelser (8 og 4), Ha'leri og Ulovlig Omgang med Hittegods (16 og 8)"
krim1870.txt,8,405,"Tyveri lute Gang begaaet 3697 739,4 4216 843,2 6405 1281,o 313,2 62,6 336,4 67,3 480,7 96,1"
krim1870.txt,8,417,"Smaa -Tyverier og -Bedragerier 311 62,2 300 60,o 358 71,6 26,3 5,3 23,9 4,s 26,s 5,3"
krim1870.txt,9,458,"Tyveri og Bedrageri Domfældte. Sammenlignet med 1856 -60 er der endvidere en Nedgang for Falskmöntneri,"
krim1870.txt,9,470,"Hovedsummen af Domfældte falder paa Forbrydelser mod Eiendom, navnlig Tyveri, Bedrageri og"
krim1870.txt,9,471,"Helen. For förste Gang begaaet Tyveri domfældtes i 1856 -60 i aarligt Gjennemsnit 739,4, i 1861 -65 843,2"
krim1870.txt,9,482,"disse Forbrydelser under Et. Sammenholdes da Tyveri, Heeled og Bedrageri isle Gang begaaet, samt Falsk og"
krim1870.txt,10,494,"og for'gjentaget Tyveri, Hæleri og Bedrageri:"
krim1870.txt,10,515,"Tyveri, Hæleri, Bedrageri lste G. beg., Falsk og Röveri 427,3 85,5 440,0 88,0 649,0 129,8"
krim1870.txt,10,516,"Tyveri, Hæleri og Bedrageri gjentaget 125,7 25,1 141,9 28,4 194,2 38,8"
krim1870.txt,10,517,"I Alt for Tyveri, Hæleri, Bedrageri, Falsk og Röveri 553,0 110,6 581,9 116,4 843,2 168,6"
krim1870.txt,10,523,"Domfældte har været i jævn Stigning (henholdsvis 4,3, 4,4 og 6,0 paa 100000 Indb.), hvorimod Smaa-Tyverier og"
krim1870.txt,10,526,"Som ovenfor vist er Forögelsen i Antallet of Domfældte for Tyveri, Bedrageri og Hæleri m. m"
krim1870.txt,10,542,"90,9 pCt.), en Klasse der selvfölgelig giver et rigeligt Bidrag til Antallet af Domfældte for Tyveri og de dermed"
krim1870.txt,11,571,"Tyveri late Gang begaset 823 329 821 315 993 385 1073 412 885 369 4595 1810 6405 1281,o - 2den - - 175 73 201 63 231 65 234 73 189 69 1030 343 1373 274,6 - 3die - - 61 16 82 24 106 30 101 41 84 28 434 139 573 114,6 - 4de - - og oftere . 45 12 44 12 54 17 67 18 81 24 291 83 374 74,s"
krim1870.txt,11,573,"Tyveri og Ha;leri afvexlende begaaet . 14 2 14 10 16 7 21 10 23 8 88 37 125 25,o"
krim1870.txt,11,579,"Smaa- Tyverier og -Bedragerier 29 6 45 21 64 25 65 43 41 19 244 114 358 71,e"
krim1870.txt,12,621,"i 1870 viser sig naturligvis tydeligst paa Tyveri .og Bedrageri, navnlig sammenholdt med 1869, der for disse"
krim1870.txt,12,658,"Tyveri m. m. DomfæIdte, da en Adskillelse iaf disse after Kjön ikke haves."
krim1870.txt,14,720,Tyveri late Gang begaaet 1134 583 530 227 1383 490 1913 717
krim1870.txt,14,724,Tyveri og Hæleri afvexlende begaaet 20 11 8 4 22 12 30 16
krim1870.txt,14,729,Smaa-Tyverier og -Bedragerier 8 3 38 9 99 62 137 71 Falskmöntneri og Udgivelse af falsk Mönt 8 2 4 . 4 8
krim1870.txt,17,858,"Tyveri, Hæleri og Bedrageri"
krim1870.txt,17,859,"1866-70. Iste Gang begaaet, Tyveri, Haeleri og Bedrageri"
krim1870.txt,18,996,Tyveri late Gang begaaet 374 533 429 820 620 470 407 350 241 156 73 88 34 4595
krim1870.txt,18,1022,Tyveri og Hseleri afvexlende begaaet 1 11 13 16 14 17 9 5 2 88
krim1870.txt,18,1029,Smaa-Tyverier og -Bedragerier 10 5 23 27 25 30 31 20 9 5 8 51 244
krim1870.txt,18,1045,"1) Antallet af Domfaeldte i Femaarene 1856-60 og 1861-65 omfatte ikke de under o f f e n t 1 i g e P o 1 i t i s a g e r for Lösagtighed, Tyveri m. m."
krim1870.txt,21,1479,"Straffebestemmelser i Loven af 10de Februar 1866, navnlig ligeoverfor gjentagne Tyverier og Bedragerier."
krim1870.txt,22,1555,Tyveri lste Gang begaaet
krim1870.txt,22,1603,"Tyveri og pedal afvealende begaaet ,, 88 37 n r, 1 n n 1 n 2"
krim1870.txt,22,1610,Smaa-Tyverier og -Bedragerier 1 25 6 244 114 n n n n u n n
krim1870.txt,22,1625,"I) Heri ikke indbefattet de under offentlige Politisager for Lösagtighed, Tyveri m. m. Domfaaldte (i Aarene 1856-60: 163, i 1861-65: 72.),"
krim1870.txt,24,2008,"Tyveri II 1 3 t, 1 1 t, r, 6 2 Ir 3"
krim1870.txt,27,2433,Tyveri lste Gang begaaet 25 27 29 30 27 138 1 3 1 3 1 9 147
krim1870.txt,27,2442,"Smaa-Tyverier og -Bedragerier 1 , 1 1 1 4 3 3 7"
krim1870.txt,27,2451,"atter her Forbrydelser mod Eiendom, der udgjöre det overveiende Antal; Tyveri og Bedrageri udgjöre"
krim1870.txt,34,2709,Indbrndstyveri 8 38 4 46 4 12 3 3 31 1 n 31 1
krim1870.txt,34,2710,Andet kvalificeret Tyveri 3 1 2 o 5 1 1 4 1 n 4 1 n n
krim1870.txt,34,2711,"Simpelt Tyveri lste Gang begaaet 126 38 360 144 486 182 49 7 86 34 351 141 1 10 3 7 1 333 137 """
krim1870.txt,34,2724,"Smaat Tyveri og Bedrageri . . . . 6 8 2 14 2 1 ,, 13 2 2 n 11 2"
krim1870.txt,36,3402,"Indbrudstyveri 4 4 1 r, 1 5 ,, 2 r, 1 o 2 1 2 1 0;"
krim1870.txt,36,3403,"Andet kvalificeret Tyveri . . . . o ,, ,. , 2 ,, 1 ,, , 1 ,."
krim1870.txt,36,3404,Simpelt Tyveri lste Gang begaaet 72 47 22 10 24 8 14 5 9 6 9 1 6 16 5 23 7 16 6 11 2 6 4
krim1870.txt,36,3417,"Smaat Tyveri og Bedrageri . . 2 r, 1 0 o 1 1 2 2 u or or"
krim1870.txt,38,3723,"Indbrudstyveri +, 7 10 5 1 2 3 1 1 1 n 31 0 ., 0 0 0 0 1 0 0 0 1 32"
krim1870.txt,38,3724,"Andet kvalificeret Tyveri 0 1 1 0 1 0 1 0 0 0 4 0 0 n ., 1 0 0 0 0 0 1 5"
krim1870.txt,38,3725,"Simpelt Tyveri lste Gang begaaet. . 27 67 58 47 38 41 20 12 5 6 6 6 333 4 26 27 16 17 14 15 7 4 6 1 ,, 137 470"
krim1870.txt,38,3738,"Smaa-Tyveri og -Bedrageri 0 I 1 2 1 2 1 1 1 1 11 0 2 If 0 0 ., 0 0 0 2 13"
krim1870.txt,43,4213,"sager. 2) I Kjobenhavn er endvrdere pea Oversigterne optagne de Seger angaaende Tyveri begaeede al Born mellem 10 og 15 Aar (8 Sager med I1 Drenge og 2 Piger), earn behandles politi-"
krim1870.txt,59,7010,"17. Tyveri, forste Gang begaaet - 23 §§ 228, 229, 233 -234, 237, 240."
krim1870.txt,59,7016,23. Tyveri og Hæleri afvexlende begaaet - 23 §§ 240 -241.
krim1870.txt,59,7023,"29. Undtaget Tyveri og Bedrageri, Brugs- og Besiddelsestyveri . . - 23 §§ 235 -236, Kap. 26 § 256 -257."
krim1870.txt,63,7765,Tyveri forste Gang begaaet.
krim1870.txt,63,7766,Tyveri anden Gang begaaet.
krim1870.txt,63,7767,Tyveri tredie Gang begaaet
krim1870.txt,63,7768,Tyveri fjords Gang begaael og even.
krim1870.txt,63,7779,og Besiddelsestyveri.
krim1870.txt,65,9093,Tyveri fjerde Gang begaaet og oftere
krim1870.txt,65,9103,og Besiddelsestyveri.
krim1870.txt,67,10139,og Besiddelsestyveri.
krim1870.txt,70,10924,17. Tyveri late Gang begaaet . . . . 58 9 87 34 431 187 576 230 31 9 56 22 489 199 u 34 9 455 190
krim1870.txt,70,10930,23. Tyveri og Hseleri afvexlende beg.
krim1870.txt,70,10960,"29. Undtaget Tyveri og Bedrageri,"
krim1870.txt,70,10961,"Brugs- og Besiddelsestyveri . 1 7 ,, 17 5 25 5 2 1 2 ., 21 4 5 r, 16 4 n n"
krim1870.txt,72,12410,17. Tyveri lste Gang begaaet . . . 108 611 30 14 49 13 13 .1 19 5 15 2 4 2 22 10 25 19 18 5 21 7 5 3 23 3
krim1870.txt,72,12416,23. Tyveri og Hæleri afvexlende
krim1870.txt,72,12426,"Brugs- og Besiddelsestyveri . . 3 2 , ,. 1 1 1 II II II 1 1"
krim1870.txt,74,12796,17. Tyveri tote Gang begaaet . . . . 35 37 47 85 66 45 43 31 28 15 8 14 1 455
krim1870.txt,74,12802,23. Tyveri og Hæleri afvexlende beg. II to 1 1 5 3 4 14
krim1870.txt,74,12810,"29. Undtaget Tyveri og Bedrageri,"
krim1870.txt,74,12811,Brags- og Besiddelsestyveri .. . 1 3 1 1 2 1 2 3 2 16
krim1870.txt,86,15030,Tyveri Este Gang begaaet 25
krim1870.txt,86,15031,Tyveri 2den Gang begaaet 10
krim1870.txt,86,15048,Tyveri 1 1 It 1
krim1870.txt,89,15258,1) of disse ore 15 Prenge g 7 Piger molt m 10 og 15 Anr domle for Tyveri OR aedrngen under 15 otfe pige Polit'seger. 8
krim1870.txt,105,18851,Tyveri forate Gang begaaet.
krim1870.txt,105,18852,Tyveri anden Gang hegaaet.
krim1870.txt,105,18853,Tyveri tredie Gang begaaet.
krim1870.txt,105,18854,Tyveri Cerde Gang begaaet og ofiere.
krim1870.txt,105,18857,Tyveri og Bæleri afverlende begaael
krim1870.txt,105,18865,"Undlaget Tyveri og Bedrageri, Brags-"
krim1870.txt,105,18866,og Besiddelsestyveri.
krim1870.txt,107,19200,Tyveri forste Gang begaaet.
krim1870.txt,107,19201,Tyveri anden Gang begaaet.
krim1870.txt,107,19202,Tyveri tredie Gang begaaet.
krim1870.txt,107,19214,"Undtaget Tyveri og Bedrageri, Brngs-"
krim1870.txt,107,19215,og Besiddelsestyveri.
krim1870.txt,111,20929,Tyveri ferste Gang begaaet.
krim1870.txt,111,20930,Tyveri sides Gang begaaet.
krim1870.txt,111,20931,Tyveri India Gang begannt
krim1870.txt,111,20939,"Undtaget Tyveri og Bedrageri, Brugs-"
krim1870.txt,111,20940,og Besiddelsestyveri_
krim1870.txt,113,22062,Tyveri forste Gang tegaaet.
krim1870.txt,113,22063,Tyveri anden Gang begaaet
krim1870.txt,113,22072,"Undtaget Tyveri og Bedrageri, Brugs-"
krim1870.txt,113,22073,og Besiddelsestyveri.
krim1870.txt,114,22882,"17. Tyveri late Gang begaaet . . 31 9 56 22 921 351 10081 382 17 7 118 44 873 331 3 1 49 15 821 315 ,."
krim1870.txt,114,22888,"23. Tyveri og Hælerl afvexlende beg. 5 "" 3 4 10 8 16 12 2 2 "" 14 '¡ 10 '"
krim1870.txt,114,22899,"29. Undtaget Tyveri og Bedrageri,"
krim1870.txt,114,22900,"Brugs- og Besiddelsestyveri . . . 2 1 2 56 26 60 27 7 2 2 51 25 """
krim1870.txt,116,23446,17. Tyveri lste Gang begaaet . . . . 233 102 46 29 76 26 17 1 41 12 30 9 8 7 35 8 49 25 29 14 24 1 14 4 32 8
krim1870.txt,116,23452,"23. Tyveri og Helen afvexlende beg. 1 4 3 rr o 1 r, 1 1 1 r, 1 2 u n 1"
krim1870.txt,116,23460,"29. Undtaget Tyveri og Bedrageri,"
krim1870.txt,116,23461,"Brugs- og Besiddelsestyveri . . 3 1 3 3 4 n 4 n 1 1 2 4 r, 1 1 6 If 7 2 rr 2 1 1"
krim1870.txt,118,23729,17. Tyveri lste Gang begaaet . . . . 54 106 79 161 108 93 68 64 38 27 9 10 4 821
krim1870.txt,118,23735,"23. Tyveri og Haeleri afvexlende beg. r, 3 2 2 4 2 1 n Il 14"
krim1870.txt,118,23743,"29. Undtaget Tyveri og Bedrageri,"
krim1870.txt,118,23744,Brugs- og Besiddelsestyveri . . . u 2 1 6 2 6 5 7 5 1 1 1 8 45
krim1870.txt,127,25981,Indbrudstyveri 3 n 3
krim1870.txt,127,25982,Simpelt Tyveri late Gang begaaet . 24 1 2 20 1 24
krim1870.txt,127,25983,Simpelt Tyveri 2den Gang begaaet . 6 6
krim1870.txt,127,25997,Tyveri tste Gang begaaet 3 3
krim1870.txt,127,25998,Tyveri 2den Gang begaaet 1 1
krim1870.txt,149,30468,"Undlaget Tyveri og Bedrageri, Drugs-"
krim1870.txt,149,30471,og Besiddelsestyveri :
krim1870.txt,149,30480,Tyveri förste Gang begaaet.
krim1870.txt,149,30481,Tyveri anden Gang begaaet.
krim1870.txt,149,30482,Tyveri Iredie Gang begaaet
krim1870.txt,149,30483,Tyveri fjerde Gang begaaet og often.
krim1870.txt,149,30485,Tyveri og Hmleri afverleode begaaet.
krim1870.txt,151,31074,Tyveri fjerde Gang begaaet og dare.
krim1870.txt,151,31075,Tyveri og Hæleri afverlende begaaet
krim1870.txt,151,31081,"Undtagel Tyveri og Bedrageri, Brags-"
krim1870.txt,156,33548,17. Tyveri lste Gang begaaet . . 17 7 118 44 1040 402 1175 453 48 13 98 41 1029 399 5 2 31 12 993 385
krim1870.txt,156,33554,"23. Tyveri og Hæleri afvexlende beg. 2 2 ,. ¡ 15 10 17 12 1 2 3 16 7 ,r 16 7"
krim1870.txt,156,33563,"29. Undtaget Tyveri og Bedrageri,"
krim1870.txt,156,33564,Brugs- og Besiddelsestyveri . .
krim1870.txt,158,34062,17. Tyveri lste Gang begaaet . . .
krim1870.txt,158,34068,23. Tyveri og Helen afvexlende beg
krim1870.txt,158,34076,"29. Undtaget Tyveri og Bedrageri,"
krim1870.txt,158,34077,Brags- og Besiddelsestyveri . .
krim1870.txt,160,35192,17. Tyveri lste Gang begaaet . . . . 91 102 80 180 141 111 85 82 49 40 12 12 8 993
krim1870.txt,160,35198,"23. Tyveri og Heeled afvexlende beg. ., 1 r, 2 4 3 4 1 1 16"
krim1870.txt,160,35206,"29. Undtaget Tyveri og Bedrageri,"
krim1870.txt,160,35207,"Brugs- og Besiddelsestyveri . . . ,, 3 2 5 10 9 9 8 , 4 I 1 12 64"
krim1870.txt,169,38428,Tyveri lste Gang begaaet
krim1870.txt,169,38429,Tyveri 2den Gang begaaet
krim1870.txt,169,38430,Tyveri 3die Gang begaaet
krim1870.txt,169,38436,Undtaget Tyveri
krim1870.txt,169,38622,Tyveri Iste Gang begaaet
krim1870.txt,191,43276,Tyveri forste Gang begaaet.
krim1870.txt,191,43277,Tyveri anden Gang begaaet
krim1870.txt,191,43278,Tyveri tredie Gang begaaet.
krim1870.txt,191,43281,Tyveri og Hæleri afrorlende begaaet
krim1870.txt,191,43287,"rUndtaget Tyveri og Bedrageri, Brugs-"
krim1870.txt,191,43288,og Besiddelsestyveri
krim1870.txt,195,44087,Tyveri fjerle Gag bi
